url,rank,company,revenues,revenue_pct_change,profits,profits_pct_change,assets,market_val,rank_change_1000,employees,rank_change_500,sector,industry,hq,website,years_on_fortune500,costs,revenue_pct,cost_pct
https://fortune.com/fortune500/2019/procter-gamble/,45,Procter & Gamble,66832.0,0.9,9750.0,-36.4,118310.0,260289.4,3,92000,3,Household Products,Household and Personal Products,"Cincinnati, Ohio",http://www.pg.com,65,57082.0,0.539341801572058,0.460658198427942
https://fortune.com/fortune500/2019/united-technologies/,46,United Technologies,66501.0,11.1,5269.0,15.8,134211.0,111146.0,5,240200,5,Aerospace & Defense,Aerospace and Defense,"Farmington, Conn.",http://www.utc.com,65,61232.0,0.5206250538232093,0.47937494617679066
https://fortune.com/fortune500/2019/fedex/,47,FedEx,65450.0,8.5,4572.0,52.6,52330.0,47270.8,3,359000,3,Transportation,"Mail, Package, and Freight Delivery","Memphis, Tenn.",http://www.fedex.com,25,60878.0,0.5180957507440948,0.48190424925590525
https://fortune.com/fortune500/2019/pepsico/,48,PepsiCo,64661.0,1.8,12515.0,157.7,77648.0,172094.7,3,267000,3,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, N.Y.",http://www.pepsico.com,65,52146.0,0.5535712756940937,0.4464287243059063
https://fortune.com/fortune500/2019/archer-daniels-midland/,49,Archer Daniels Midland,64341.0,5.8,1810.0,13.5,40833.0,24156.7,1,31600,1,"Food, Beverages & Tobacco",Food Production,"Chicago, Ill.",http://www.adm.com,65,62531.0,0.5071331735922819,0.492866826407718
https://fortune.com/fortune500/2019/prudential-financial/,50,Prudential Financial,62992.0,5.5,4074.0,-48.2,815078.0,37517.7,2,50492,2,Financials,"Insurance: Life, Health (stock)","Newark, N.J.",http://www.prudential.com,25,58918.0,0.5167090476581084,0.48329095234189157
https://fortune.com/fortune500/2019/centene/,51,Centene,60116.0,23.8,900.0,8.7,30901.0,21939.7,10,47300,10,Health Care,Health Care: Insurance and Managed Care,"St. Louis, Mo.",http://www.centene.com,10,59216.0,0.5037709918546576,0.49622900814534243
https://fortune.com/fortune500/2019/albertsons-cos/,52,Albertsons,59924.6,0.4,46.3,,21812.3,0.0,1,275000,1,Food & Drug Stores,Food and Drug Stores,"Boise, Idaho",http://www.albertsonscompanies.com,15,59878.299999999996,0.5001932340535997,0.4998067659464003
https://fortune.com/fortune500/2019/walt-disney/,53,Walt Disney,59434.0,7.8,12598.0,40.3,98598.0,199589.9,2,201000,2,Media,Entertainment,"Burbank, Calif.",http://www.thewaltdisneycompany.com,25,46836.0,0.5592735485085161,0.440726451491484
https://fortune.com/fortune500/2019/sysco/,54,Sysco,58727.3,6.1,1430.8,25.2,18070.4,34278.8,0,67000,0,Wholesalers,Wholesalers: Food and Grocery,"Houston, Texas",http://www.sysco.com,25,57296.5,0.5061659762910713,0.49383402370892865
https://fortune.com/fortune500/2019/hp/,55,HP,58472.0,12.3,5327.0,110.9,34622.0,29795.9,3,55000,3,Technology,"Computers, Office Equipment","Palo Alto, Calif.",http://www.hp.com,58,53145.0,0.5238628524328731,0.4761371475671269
https://fortune.com/fortune500/2019/humana/,56,Humana,56912.0,5.8,1683.0,-31.3,25413.0,36079.6,0,41600,0,Health Care,Health Care: Insurance and Managed Care,"Louisville, Ky.",http://www.humana.com,25,55229.0,0.5075039459252192,0.49249605407478086
https://fortune.com/fortune500/2019/facebook/,57,Facebook,55838.0,37.4,22112.0,38.8,97334.0,475731.6,19,35587,19,Technology,Internet Services and Retailing,"Menlo Park, Calif.",http://www.facebook.com,7,33726.0,0.6234424545576348,0.37655754544236525
https://fortune.com/fortune500/2019/caterpillar/,58,Caterpillar,54722.0,20.4,6147.0,715.3,78509.0,77980.3,7,104000,7,Industrials,Construction and Farm Machinery,"Deerfield, Ill.",http://www.caterpillar.com,65,48575.0,0.5297540102810343,0.4702459897189657
https://fortune.com/fortune500/2019/energy-transfer/,59,Energy Transfer,54436.0,14.6,1694.0,77.6,88246.0,40260.0,5,11768,5,Energy,Pipelines,"Dallas, Texas",http://www.energytransfer.com,13,52742.0,0.5079027412342085,0.49209725876579147
https://fortune.com/fortune500/2019/lockheed-martin/,60,Lockheed Martin,53762.0,5.3,5046.0,152.0,44876.0,84887.6,1,105000,1,Aerospace & Defense,Aerospace and Defense,"Bethesda, Md.",http://www.lockheedmartin.com,65,48716.0,0.5246199184215149,0.47538008157848516
https://fortune.com/fortune500/2019/pfizer/,61,Pfizer,53647.0,2.1,11153.0,-47.7,159422.0,235785.1,4,92400,4,Health Care,Pharmaceuticals,"New York, N.Y.",http://www.pfizer.com,65,42494.0,0.5580033492474594,0.4419966507525405
https://fortune.com/fortune500/2019/goldman-sachs-group/,62,Goldman Sachs Group,52528.0,24.3,10459.0,144.0,931796.0,70414.9,8,36600,8,Financials,Commercial Banks,"New York, N.Y.",http://www.goldmansachs.com,20,42069.0,0.5552818799750521,0.4447181200249479
https://fortune.com/fortune500/2019/morgan-stanley/,63,Morgan Stanley,50193.0,15.0,8748.0,43.2,853531.0,72110.8,4,60348,4,Financials,Commercial Banks,"New York, N.Y.",http://www.morganstanley.com,25,41445.0,0.5477312905126694,0.45226870948733056
